Domain;Total Visits;Average m Visits;Italy Percentage;Pages per View;6m Pageviews Italy;Source Direct;Source Mail;Source Referral;Source Social;Source Organic;Source Paid Search;Source Paid Display;IP1;ASN1;Netblock1;Country1;Company1;IP2;ASN2;Netblock2;Country2;Company2;IP3;ASN3;Netblock3;Country3;Company3
fiscoetasse.com;5600000;5615460.0;98.14;1.61;8872730;10.15;4.38;2.76;1.41;81.21;0.07;0.02;213.92.122.98;3313;213.92.64.0/18;IT;INET-AS , IT;;;;;;;;;;
fizrukoff.net;21100000;21124494.0;0.45;3.25;308945;12.88;0.52;22.03;3.22;61.06;0.0;0.29;104.18.55.77;13335;104.18.48.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.18.54.77;13335;104.18.48.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
flickr.com;926600000;926569266.0;2.74;14.54;369141489;40.11;1.91;24.08;14.08;19.56;0.0;0.26;69.147.76.173;26101;69.147.72.0/21;US;YAHOO-3 - Yahoo!, US;;;;;;;;;;
freepik.com;204900000;204943014.0;2.18;8.76;39137557;31.67;1.86;20.13;2.09;44.16;0.0;0.09;178.33.44.27;16276;178.32.0.0/15;FR;OVH , FR;;;;;;;;;;
fs.to;172500000;172512930.0;0.04;5.67;391259;44.65;0.98;39.8;4.98;9.55;0.0;0.04;91.226.97.14;197812;91.226.97.0/24;RU;ASFERAZKO , RU;;;;;;;;;;
gfycat.com;661200000;661170282.0;0.62;2.59;10617072;12.68;0.12;3.78;82.32;0.62;0.0;0.49;104.16.116.165;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;104.16.115.165;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;104.16.113.165;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US
giga.de;163400000;163406412.0;0.55;2.03;1824432;22.08;0.05;2.76;5.76;69.29;0.01;0.05;80.86.80.168;8972;80.86.80.0/20;DE;PLUSSERVER-AS , DE;80.86.80.169;8972;80.86.80.0/20;DE;PLUSSERVER-AS , DE;80.86.80.170;8972;80.86.80.0/20;DE;PLUSSERVER-AS , DE
giphy.com;811700000;811692012.0;2.43;2.24;44182019;16.53;0.36;5.72;60.61;16.72;0.01;0.05;104.16.11.250;13335;104.16.0.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;;;;;;
glaz.tv;136600000;136608396.0;0.38;3.04;1578100;29.3;1.41;37.15;4.7;27.35;0.01;0.06;93.114.45.124;3223;93.114.45.0/24;RO;VOXILITY , RO;;;;;;;;;;
gnula.nu;137500000;137538564.0;0.25;3.06;1052170;48.36;0.24;15.3;1.84;33.26;0.0;1.01;104.25.225.9;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;104.25.224.9;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
googledrive.com;79900000;79862472.0;1.18;2.14;2016687;24.09;1.85;27.52;13.57;32.19;0.0;0.79;172.217.20.129;15169;172.217.0.0/16;US;GOOGLE - Google Inc., US;;;;;;;;;;
gossipblog.itimdb.com;0;0.0;0.01;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;
hbogo.com;133900000;133889262.0;0.05;6.97;466604;50.74;1.3;32.76;1.89;13.29;0.0;0.02;206.208.179.83;3561;206.208.179.0/24;US;CENTURYLINK-LEGACY-SAVVIS - Savvis, US;206.208.179.21;3561;206.208.179.0/24;US;CENTURYLINK-LEGACY-SAVVIS - Savvis, US;206.208.179.139;3561;206.208.179.0/24;US;CENTURYLINK-LEGACY-SAVVIS - Savvis, US
hdfilmcehennemi.com;85700000;85654488.0;0.02;3.91;66981;47.77;0.16;15.07;1.35;34.85;0.0;0.8;104.25.25.19;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;104.25.24.19;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
hdfilms.tv;32700000;32673330.0;0.11;1.48;53192;10.62;0.1;3.85;0.53;84.76;0.0;0.15;193.109.246.154;29076;193.109.246.0/24;VG;CITYTELECOM-AS Filanco LTD, RU;;;;;;;;;;
hdkinomax.com;67200000;67159428.0;0.25;1.78;298859;8.37;0.09;4.38;0.51;86.55;0.0;0.1;193.109.246.146;29076;193.109.246.0/24;VG;CITYTELECOM-AS Filanco LTD, RU;;;;;;;;;;
hdonline.vn;119400000;119378448.0;0.01;4.77;0;46.37;0.23;21.07;8.43;23.75;0.0;0.15;210.245.125.106;18403;210.245.125.0/24;VN;FPT-AS-AP The Corporation for Financing & Promoting Technology, VN;;;;;;;;;;
heavy.com;140800000;140769372.0;0.71;1.94;1938957;8.85;0.51;3.0;4.79;82.81;0.0;0.03;192.0.79.34;2635;192.0.79.0/24;US;AUTOMATTIC - Automattic, Inc, US;;;;;;;;;;
history.com;140600000;140638416.0;0.29;1.86;758603;19.12;0.37;6.31;4.23;69.49;0.37;0.1;204.74.99.101;12008;204.74.99.0/24;US;ULTRADNS - NeuStar, Inc., US;;;;;;;;;;
homepage-web.com;181000000;181015236.0;4.07;1.9;13997908;99.84;0.01;0.12;0.01;0.02;0.0;0.0;104.25.30.36;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;104.25.31.36;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
hotstar.com;293300000;293300094.0;0.25;4.37;3204303;56.91;0.06;4.53;0.78;33.75;3.38;0.59;54.169.176.66;38895;54.169.128.0/17;US;AMAZON-AS-AP Amazon.com Tech Telecom, JP;54.169.175.143;38895;54.169.128.0/17;US;AMAZON-AS-AP Amazon.com Tech Telecom, JP;;;;;
hottuber.com;9700000;9714294.0;20.07;1.13;2203114;3.95;0.01;72.21;0.21;0.17;0.0;23.45;50.63.121.163;26496;50.63.120.0/22;US;AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US;;;;;;;;;;
hulu.com;720000000;719995746.0;0.07;14.74;7428916;61.71;1.69;23.7;2.25;9.44;1.15;0.07;23.222.28.24;20940;23.222.28.0/23;US;AKAMAI-ASN1 , US;23.222.28.27;20940;23.222.28.0/23;US;AKAMAI-ASN1 , US;;;;;
huya.com;100900000;100889076.0;0.12;3.7;447947;41.59;0.12;38.8;1.53;17.96;0.0;0.0;113.107.236.195;58543;113.107.236.0/22;CN;CHINATELECOM-GUANGDONG-IDC Guangdong, CN;14.17.109.66;58543;14.17.104.0/21;CN;CHINATELECOM-GUANGDONG-IDC Guangdong, CN;221.228.79.225;4134;221.224.0.0/13;CN;CHINANET-BACKBONE No.31,Jin-rong Street, CN
ilcorsaronero.info;49100000;49097502.0;95.93;6.05;284950363;67.65;0.38;11.08;0.4;20.2;0.0;0.29;31.131.4.166;43588;31.131.4.0/23;MD;LEVEL7-AS , MD;;;;;;;;;;
imdb.com;4200000000;4192844682.0;0.96;5.45;219369633;32.31;0.36;14.62;2.37;50.23;0.0;0.1;72.21.206.80;16509;72.21.192.0/19;US;AMAZON-02 - Amazon.com, Inc., US;72.21.210.29;16509;72.21.192.0/19;US;AMAZON-02 - Amazon.com, Inc., US;207.171.166.22;16509;207.171.160.0/20;US;AMAZON-02 - Amazon.com, Inc., US
indiewire.com;63300000;63316704.0;1.11;1.74;1222898;19.18;0.47;6.15;25.29;48.82;0.0;0.09;192.0.66.2;2635;192.0.66.0/24;US;AUTOMATTIC - Automattic, Inc, US;;;;;;;;;;
infinitytv.it;8199999;8167866.0;97.15;3.98;31581625;45.83;3.98;14.85;2.05;24.52;6.49;2.28;91.211.156.19;3356;91.211.156.0/24;IT;LEVEL3 - Level 3 Communications, Inc., US;;;;;;;;;;
italia-film.co;84600000;84628452.0;92.25;3.75;292761551;51.93;0.43;15.98;1.26;30.09;0.0;0.31;104.20.38.187;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;104.20.39.187;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
italiansubs.net;24600000;24561234.0;93.95;3.47;80071219;69.84;0.89;12.31;2.03;14.88;0.0;0.04;163.172.33.147;12876;163.172.0.0/16;GB;AS12876 , FR;;;;;;;;;;
itv.com;158000000;158006832.0;0.21;2.43;806308;33.44;0.5;15.64;18.23;32.14;0.01;0.03;52.48.32.52;16509;52.48.0.0/14;US;AMAZON-02 - Amazon.com, Inc., US;;;;;;;;;;
ivi.ru;202800000;202834506.0;0.21;2.72;1158590;20.09;0.58;25.15;2.49;50.02;0.13;1.55;91.233.219.155;57629;91.233.216.0/22;RU;DIGITAL-ACCESS , RU;91.233.219.154;57629;91.233.216.0/22;RU;DIGITAL-ACCESS , RU;;;;;
ivid.it;11500000;11479236.0;91.61;5.05;53106446;10.8;0.92;75.0;3.57;8.41;0.03;1.28;212.239.12.200;3313;212.239.0.0/17;IT;INET-AS , IT;;;;;;;;;;
juzaphoto.com;11000000;10986882.0;87.65;9.39;90425719;41.52;1.33;13.22;2.69;41.21;0.02;0.02;5.135.200.157;16276;5.135.0.0/16;FR;OVH , FR;;;;;;;;;;
k4pp4.pw;19300000;19268508.0;92.16;1.73;30721092;4.07;0.13;91.76;0.65;2.44;0.0;0.95;104.28.8.47;13335;104.28.0.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.28.9.47;13335;104.28.0.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
kanald.com.tr;236000000;235966302.0;0.01;5.74;0;18.32;0.2;24.67;6.61;49.9;0.0;0.31;91.93.50.67;60027;91.93.50.0/24;TR;DTV-AS , TR;213.243.48.67;60027;213.243.48.0/24;TR;DTV-AS , TR;;;;;
kat.cr;3400000000;3442222524.0;1.02;6.12;214877298;61.84;0.86;27.86;2.68;6.4;0.0;0.37;119.81.124.105;36351;119.81.64.0/18;SG;SOFTLAYER - SoftLayer Technologies Inc., US;69.165.95.186;10929;69.165.95.0/24;CA;NETELLIGENT - Netelligent Hosting Services Inc., CA;149.202.90.63;16276;149.202.0.0/16;FR;OVH , FR
keepvid.com;150900000;150905874.0;1.94;3.35;9807372;53.42;0.49;13.73;8.26;23.92;0.0;0.18;159.8.220.42;36351;159.8.192.0/18;US;SOFTLAYER - SoftLayer Technologies Inc., US;;;;;;;;;;
kino-filmi.net;40900000;40905990.0;0.41;2.17;363940;12.41;0.11;6.6;0.56;79.86;0.0;0.46;104.28.26.12;13335;104.28.16.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.28.27.12;13335;104.28.16.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
kino-teatr.ru;85600000;85632168.0;0.37;3.63;1150125;13.43;0.22;6.72;0.93;78.66;0.0;0.03;178.218.209.114;42244;178.218.208.0/23;RU;ESERVER , RU;;;;;;;;;;
kinogo.co;1200000000;1210041288.0;0.34;3.06;12589269;30.74;0.58;23.05;3.46;42.07;0.0;0.09;193.169.252.134;49681;193.169.252.0/23;UA;PROFINBANK-AS , UA;;;;;;;;;;
kinokrad.net;242300000;242285334.0;0.45;3.13;3412588;20.47;0.46;18.8;1.87;58.32;0.0;0.08;5.45.79.1;50673;5.45.76.0/22;RU;SERVERIUS-AS , NL;;;;;;;;;;
kinoman.tv;131699999;131650110.0;0.18;4.37;1035559;52.96;0.81;35.16;2.59;8.25;0.0;0.22;104.31.69.61;13335;104.31.64.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.31.68.61;13335;104.31.64.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
kinopoisk.ru;662300000;662303028.0;0.24;4.16;6612433;27.14;0.66;13.47;2.96;55.74;0.01;0.04;87.250.251.105;13238;87.250.251.0/24;RU;YANDEX , RU;213.180.193.105;13238;213.180.193.0/24;RU;YANDEX , RU;;;;;
kinox.to;205100000;205062702.0;0.82;3.5;5885299;67.84;0.16;16.34;1.14;14.06;0.0;0.45;104.28.21.67;13335;104.28.16.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.28.20.67;13335;104.28.16.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
kisscartoon.me;204300000;204305436.0;0.54;3.93;4335769;45.11;0.51;26.42;3.31;24.57;0.0;0.08;104.25.242.29;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;104.25.243.29;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
kshowonline.com;148300000;148250142.0;0.55;2.43;1981363;53.0;0.87;27.94;5.09;12.66;0.0;0.43;104.31.94.153;13335;104.31.80.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.31.95.153;13335;104.31.80.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
ku6.com;152700000;152693670.0;0.03;2.12;97113;6.65;0.05;14.43;0.41;78.45;0.0;0.01;122.11.45.243;4808;122.11.40.0/21;CN;CHINA169-BJ China Unicom Beijing Province Network, CN;;;;;;;;;;
la7.it;17700000;17683710.0;81.12;2.57;36866715;36.7;0.56;14.5;11.95;36.27;0.0;0.03;213.215.236.14;8220;213.215.128.0/17;IT;COLT , GB;;;;;;;;;;
listenonrepeat.com;92100000;92073960.0;0.01;30.98;0;88.55;0.01;0.34;0.49;10.61;0.0;0.01;52.8.85.110;16509;52.8.0.0/16;US;AMAZON-02 - Amazon.com, Inc., US;;;;;;;;;;
livestream.com;107500000;107483934.0;2.34;2.33;5860239;37.43;1.2;25.85;9.81;25.29;0.04;0.37;23.235.33.207;54113;23.235.33.0/24;US;FASTLY - Fastly, US;23.235.37.207;54113;23.235.37.0/24;US;FASTLY - Fastly, US;104.156.81.207;54113;104.156.81.0/24;US;FASTLY - Fastly, US
livetv.sx;166000000;166040748.0;7.98;6.26;82945323;57.28;0.43;24.54;2.09;15.47;0.0;0.18;93.174.89.3;29073;93.174.88.0/21;NL;QUASINETWORKS , NL;62.210.114.138;12876;62.210.0.0/16;FR;AS12876 , FR;;;;;
lostfilm.tv;194700000;194729598.0;0.27;2.57;1351228;76.48;0.95;16.33;1.81;4.43;0.0;0.01;185.85.120.10;16125;185.85.120.0/24;RU;BALTICSERVERS1-AS , LT;;;;;;;;;;
mangaeden.com;18500000;18467460.0;54.28;59.76;599042444;66.53;0.46;18.1;1.75;12.97;0.0;0.19;104.20.52.174;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;104.20.51.174;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
mangafox.me;342000000;342018900.0;2.29;42.05;329345389;55.22;0.61;21.06;3.17;19.88;0.0;0.05;185.4.227.116;197328;185.4.226.0/23;TR;INETLTD , TR;176.53.21.90;197328;176.53.21.0/24;TR;INETLTD , TR;;;;;
mangareader.net;226400000;226377024.0;2.53;34.59;198108645;74.77;0.63;15.5;1.89;6.86;0.0;0.35;185.85.189.58;29262;185.85.189.0/24;TR;IDEALHOSTING , TR;;;;;;;;;;
maplestage.com;105500000;105531486.0;0.43;3.37;1529256;43.91;1.12;37.19;4.53;13.21;0.0;0.05;104.20.67.125;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;104.20.73.125;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
media-fire.org;140900000;140878212.0;1.29;1.52;2762339;13.26;0.28;43.34;1.28;1.67;0.0;40.17;104.20.0.146;13335;104.20.0.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.20.1.146;13335;104.20.0.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
mediaset.it;268500000;268482492.0;90.99;3.64;889223678;50.34;0.6;10.34;5.61;33.03;0.0;0.07;91.211.156.128;3356;91.211.156.0/24;IT;LEVEL3 - Level 3 Communications, Inc., US;;;;;;;;;;
mediasetpremium.it;18500000;18456654.0;97.55;4.34;78139382;52.66;2.32;11.84;0.38;31.05;0.09;1.65;91.211.156.128;3356;91.211.156.0/24;IT;LEVEL3 - Level 3 Communications, Inc., US;;;;;;;;;;
meduza.io;91400000;91437288.0;0.47;2.24;962651;41.42;3.15;16.27;32.05;7.09;0.0;0.01;163.172.11.143;12876;163.172.0.0/16;GB;AS12876 , FR;91.227.34.40;61400;91.227.34.0/23;RU;NETRACK-AS , RU;195.154.163.43;12876;195.154.0.0/16;FR;AS12876 , FR
megafilmesonline.net;68200000;68202276.0;0.1;4.65;317140;15.45;0.12;10.35;1.24;71.99;0.0;0.85;104.27.159.147;13335;104.27.144.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.27.158.147;13335;104.27.144.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
megogo.net;116800000;116764062.0;0.17;3.12;619316;19.22;0.66;28.99;1.5;39.91;1.1;8.61;193.187.77.50;3356;193.187.77.0/24;UA;LEVEL3 - Level 3 Communications, Inc., US;;;;;;;;;;
metacritic.com;163800000;163755666.0;1.96;2.63;8441277;40.83;0.36;10.93;2.12;45.71;0.0;0.04;184.73.243.78;14618;184.73.0.0/16;US;AMAZON-AES - Amazon.com, Inc., US;23.23.171.117;14618;23.22.0.0/15;US;AMAZON-AES - Amazon.com, Inc., US;;;;;
mitele.es;99700000;99706242.0;0.33;3.27;1075930;34.48;0.54;36.14;2.09;26.26;0.0;0.48;213.4.97.110;6813;213.4.97.0/24;ES;FLEXNET Telefonica Soluciones, ES;;;;;;;;;;
movie-blog.org;49600000;49577832.0;0.55;7.21;1966008;77.64;0.13;17.1;0.58;4.52;0.0;0.02;104.28.7.12;13335;104.28.0.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.28.6.12;13335;104.28.0.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
movie.douban.com;323900000;323851314.0;0.08;8.21;2127055;19.73;0.23;41.04;0.91;38.09;0.0;0.01;211.147.4.32;4808;211.147.0.0/21;CN;CHINA169-BJ China Unicom Beijing Province Network, CN;211.147.4.49;4808;211.147.0.0/21;CN;CHINA169-BJ China Unicom Beijing Province Network, CN;211.147.4.31;4808;211.147.0.0/21;CN;CHINA169-BJ China Unicom Beijing Province Network, CN
movie.naver.com;108500000;108502680.0;0.04;3.24;140619;7.23;0.11;91.29;0.46;0.89;0.0;0.02;125.209.210.121;23576;125.209.208.0/22;KR;NHN-AS-KR NHN, KR;;;;;;;;;;
movie2free.com;157400000;157355406.0;0.04;3.8;239180;38.24;0.01;3.55;0.93;56.69;0.0;0.58;104.27.198.93;13335;104.27.192.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.27.197.93;13335;104.27.192.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
movie4k.to;228100000;228073770.0;0.2;4.98;2271614;67.09;0.23;21.19;1.21;9.69;0.0;0.59;104.31.18.30;13335;104.31.16.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.31.19.30;13335;104.31.16.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
moviepilot.com;152900000;152929116.0;0.71;1.35;1465825;7.37;0.06;1.64;55.35;34.73;0.0;0.84;104.156.81.68;54113;104.156.81.0/24;US;FASTLY - Fastly, US;23.235.37.68;54113;23.235.37.0/24;US;FASTLY - Fastly, US;104.156.85.68;54113;104.156.85.0/24;US;FASTLY - Fastly, US
moviepilot.de;67099999;67055694.0;0.6;2.76;1110442;22.04;0.07;5.02;24.67;48.06;0.0;0.15;144.76.229.20;24940;144.76.0.0/16;DE;HETZNER-AS , DE;;;;;;;;;;
movieplayer.it;14700000;14674488.0;92.29;1.86;25190138;19.0;0.13;7.75;15.79;57.24;0.0;0.1;2.228.46.107;12874;2.224.0.0/13;IT;FASTWEB , IT;2.228.46.115;12874;2.224.0.0/13;IT;FASTWEB , IT;;;;;
movies.yahoo.com;103300000;103261530.0;0.01;10.05;0;20.45;0.79;64.6;6.77;7.05;0.0;0.34;217.12.1.156;15635;217.12.0.0/23;GB;YAHOO-UKL , GB;217.12.1.155;15635;217.12.0.0/23;GB;YAHOO-UKL , GB;;;;;
mtime.com;82000000;82028358.0;0.05;5.34;219015;42.3;0.31;15.9;1.06;40.4;0.0;0.04;59.151.32.20;9308;59.151.0.0/18;CN;CHINA-ABITCOOL Abitcool(China) Inc., CN;;;;;;;;;;
mtv.com;208200000;208161870.0;0.81;4.6;7756111;15.02;0.24;9.22;38.11;37.05;0.01;0.36;129.228.33.192;7256;129.228.32.0/23;US;VIACOM-AS - Viacom Inc., US;;;;;;;;;;
mtv.it;30100000;30086856.0;82.39;2.18;54039062;8.33;0.03;3.29;12.34;75.86;0.0;0.15;206.220.43.92;7256;206.220.40.0/22;US;VIACOM-AS - Viacom Inc., US;;;;;;;;;;
multiplayer.it;31600000;31575306.0;94.89;2.99;89585805;57.34;0.47;7.4;5.15;29.58;0.0;0.06;2.228.46.112;12874;2.224.0.0/13;IT;FASTWEB , IT;2.228.46.105;12874;2.224.0.0/13;IT;FASTWEB , IT;;;;;
my-hit.org;295100000;295114242.0;0.56;3.3;5453711;41.29;0.57;18.74;2.04;37.3;0.0;0.06;46.183.150.253;57062;46.183.150.0/24;NL;SERVERCLUB-AS , US;;;;;;;;;;
myanimelist.net;345000000;345037056.0;1.3;4.72;21171473;39.18;0.37;14.56;5.71;40.12;0.0;0.06;52.34.252.101;16509;52.32.0.0/14;US;AMAZON-02 - Amazon.com, Inc., US;50.112.69.198;16509;50.112.0.0/17;US;AMAZON-02 - Amazon.com, Inc., US;;;;;
mycanal.fr;79900000;79912206.0;0.06;4.24;203296;34.48;1.16;54.44;1.43;8.34;0.08;0.07;194.4.244.50;12566;194.4.244.0/23;FR;SFR-BUSINESS-TEAM SFR Business Team, FR;;;;;;;;;;
mymovies.it;69700000;69738738.0;94.59;2.49;164255021;21.22;0.52;11.13;1.25;65.76;0.0;0.11;89.96.155.103;12874;89.96.0.0/16;IT;FASTWEB , IT;89.96.155.101;12874;89.96.0.0/16;IT;FASTWEB , IT;89.96.155.99;12874;89.96.0.0/16;IT;FASTWEB , IT
nationalgeographic.com;200100000;200113554.0;1.09;3.43;7481645;27.69;0.95;9.48;26.29;35.23;0.19;0.17;216.146.46.11;33517;216.146.46.0/24;US;DYNDNS - Dynamic Network Services, Inc., US;216.146.46.10;33517;216.146.46.0/24;US;DYNDNS - Dynamic Network Services, Inc., US;;;;;
nbc.com;113900000;113910516.0;0.27;2.74;842709;34.14;0.66;18.45;6.08;40.36;0.2;0.12;23.64.128.174;20940;23.64.128.0/23;US;AKAMAI-ASN1 , US;;;;;;;;;;
netflix.com;7500000000;7520296236.0;0.88;4.96;328245890;71.66;0.68;19.14;0.92;7.53;0.0;0.07;54.247.120.228;16509;54.247.0.0/17;US;AMAZON-02 - Amazon.com, Inc., US;54.247.67.231;16509;54.247.0.0/17;US;AMAZON-02 - Amazon.com, Inc., US;54.247.162.66;16509;54.247.128.0/18;US;AMAZON-02 - Amazon.com, Inc., US
newgrounds.com;108300000;108295854.0;1.2;3.77;4899304;40.82;0.23;16.07;4.94;37.61;0.0;0.33;104.20.28.55;13335;104.20.16.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.20.29.55;13335;104.20.16.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
newmovie-hd.com;97700000;97686762.0;0.01;3.66;0;18.3;0.05;13.37;3.09;64.54;0.0;0.65;104.27.196.93;13335;104.27.192.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.27.195.93;13335;104.27.192.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
nhk.or.jp;294200000;294163926.0;0.09;2.97;786300;40.35;0.63;14.54;13.51;30.92;0.0;0.04;;;;;;;;;;;;;;;
nicovideo.jp;1700000000;1707417864.0;0.03;7.26;3718756;41.82;0.63;35.25;5.92;13.94;0.07;2.37;202.248.110.184;2510;202.248.0.0/16;JP;INFOWEB FUJITSU LIMITED, JP;;;;;;;;;;
nos.nl;140600000;140601198.0;0.06;4.01;338286;68.15;0.37;12.62;7.37;11.48;0.0;0.01;145.58.29.114;25182;145.58.0.0/16;NL;PUBLIEKE-OMROEP-AS NPO Nederlandse Publieke Omroep, NL;145.58.28.175;25182;145.58.0.0/16;NL;PUBLIEKE-OMROEP-AS NPO Nederlandse Publieke Omroep, NL;;;;;
nosub.tv;88400000;88398204.0;0.01;3.31;0;44.02;0.42;50.6;1.29;3.64;0.0;0.03;108.61.182.108;20473;108.61.180.0/22;US;AS-CHOOPA - Choopa, LLC, US;;;;;;;;;;
nova.cz;75600000;75590172.0;0.11;4.16;345900;32.24;0.54;14.87;29.92;22.3;0.0;0.13;176.122.40.171;198991;176.122.32.0/20;CZ;CET21-AS , CZ;;;;;;;;;;
nowvideo.li;118700000;118701414.0;91.28;3.51;380310783;8.5;0.3;85.46;1.46;1.07;0.0;3.2;37.46.121.215;51430;37.46.121.0/24;SE;ALTUSHOST-NET , NL;37.46.121.235;51430;37.46.121.0/24;SE;ALTUSHOST-NET , NL;37.46.121.240;51430;37.46.121.0/24;SE;ALTUSHOST-NET , NL
nrk.no;155400000;155381922.0;0.11;4.55;777686;61.42;0.65;22.08;8.48;7.36;0.0;0.01;160.68.205.231;21293;160.68.0.0/16;NO;ASN-NRK NRK Autonomous System, NO;;;;;;;;;;
omelete.uol.com.br;73300000;73264320.0;0.02;3.81;55827;28.31;1.33;17.11;29.66;23.35;0.0;0.25;200.147.4.47;7162;200.147.0.0/20;BR;Universo Online S.A., BR;200.147.36.53;7162;200.147.32.0/19;BR;Universo Online S.A., BR;;;;;
